AbuDhabiTV.ae@SD|أبو ظبي
AlAoula.ma@MiddleEast|الأولى المغربية
AlArabyTV2.qa@SD|التلفزيون العربي 2
AlDafrahTV.ae@SD|الظفرة
AlhayatTV.eg@SD|الحياة
AlIraqia.iq@SD|العراقية
AlJadeed.lb@SD|الجديد
AlKaheraWalNas.eg@SD|القاهرة والناس
AlKaheraWalNas2.eg@SD|القاهرة والناس 2
AlMasriyah.eg@SD|المصرية
AlNahar.eg@SD|النهار
AlNaharDrama.eg@SD|النهار دراما
AlRasheedTV.iq@SD|الرشيد
AlSaeedah.eg@SD|السعيدة
AlSaudiya.sa@SD|السعودية
AlSharqiyaMinKabla.ae@SD|الشرقية
Alsumaria.iq@SD|السومرية
Althania.sy@SD|الثانية
AmmanTV.jo@SD|عَمان
beINDrama1.qa@SD|بي إن دراما
beINMovies1Premiere.qa@SD|بي إن موفيز بريمير
beINMovies2Action.qa@SD|بي إن موفيز أكشن
beINMovies3Drama.qa@SD|بي إن موفيز دراما
beINSeries1.qa@SD|بي إن سيريس
beINSeries2.qa@SD|بي إن سيريس إتش...
CartoonNetworkArabic.ae@SD|نتورك بالعربية
CBC.eg@SD|سي بي سي
CBCDrama.eg@SD|سي بي سي دراما
Cima.eg@SD|سيما
DijlahTV.iq@SD|دجلة
DMC.eg@SD|دي إم سي
DMCDrama.eg@SD|دي إم سي دراما
DubaiOne.ae@SD|دبي وان
DubaiTV.ae@SD|دبي
DubaiZaman.ae@SD|دبي زمان
EchoroukTV.dz@SD|الشروق الجزائرية
ElMehwarChannel.eg@SD|المحور
ElWatania1.tn@SD|الوطنية 1
ElWatania2.tn@SD|الوطنية 2
ERTU1.eg@SD|قناة مصر الأولى
FujairahTV.ae@SD|الفجيرة
HadhramautTV.ye@SD|تلفزيون حضرموت
iFilmArabic.ir@SD|آي فيلم
JordanTV.jo@SD|الأردن
LanaTV.lb@SD|ال تي في
LBC.sa@SD|إل بي سي
LBCInternational.lb@SD|إل بي سي آي
Masah.sa@SD|ماسة
MasperoZaman.eg@SD|ماسبيرو زمان
MBC1.ae@SD|إم بي سي
MBC2.ae@SD|إم بي سي 2
MBC3.ae@SD|إم بي سي 3
MBC4.ae@SD|إم بي سي 4
MBC5.ae@SD|إم بي سي 5
MBCAction.ae@SD|إم بي سي أكشن
MBCBollywood.ae@SD|إم بي سي بوليوود
MBCDrama.ae@SD|إم بي سي دراما
MBCIraq.iq@SD|إم بي سي العراق
MBCMasr.eg@SD|إم بي سي مصر
MBCMasr2.eg@SD|إم بي سي مصر 2
MBCMasrDrama.sa@SD|إم بي سي مصر دراما
MBCMax.ae@SD|إم بي سي ماكس
MBCPlusDrama.sa@SD|إم بي سي دراما +
MixBelAraby.eg@SD|ميكس بالعربي
MTV.lb@SD|إم تي في
NessmaElJadida.tn@SD|نسمة
NileDrama.eg@SD|نايل دراما
NileLife.eg@SD|نايل لايف
OmanTV.om@SD|عمان
OnDrama.eg@SD|أون دراما
OnE.eg@SD|أون إي
RotanaCinemaEgypt.eg@SD|روتانا سينما مصر
RotanaCinemaKSA.sa@SD|روتانا سينما
RotanaClassic.sa@SD|روتانا كلاسيك
RotanaComedy.sa@SD|روتانا كوميدي
RotanaDrama.sa@SD|روتانا دراما
RotanaKhalijia.sa@SD|روتانا خليجية
RoyaTV.jo@SD|رؤيا
SadaElbalad.eg@SD|صدى البلد
SadaElbalad2.eg@SD|صدى البلد 2
SadaElbaladDrama.eg@SD|صدى البلد دراما
SamaDubai.ae@SD|سما دبي
SBC.sa@SD|إس بي سي
SharjahTV.ae@SD|الشارقة
TeN.eg@SD|تن
ThikrayatTV.sa@SD|ذكريات
UTV.iq@SD|يو تي في
ZeeAlwan.ae@SD|زي ألوان
